Source:Port,Destination:Port,Data Transferred (bytes)
65.54.95.68:80,192.168.3.131:56368,179962
65.54.95.75:80,192.168.3.131:56427,128578
65.54.95.140:80,192.168.3.131:56132,38779
65.54.95.68:80,192.168.3.131:56093,28774
65.54.95.68:80,192.168.3.131:56233,35067
204.14.234.85:8443,192.168.3.131:57244,116371
65.54.186.19:5443,10.0.2.15:2526,21949
192.168.3.131:56320,207.46.0.109:80,8385
72.14.213.105:443,192.168.3.131:57721,326
192.168.3.131:56511,65.54.95.68:80,3937
65.54.189.173:61863,10.0.2.15:2528,18271
207.46.0.109:80,192.168.3.131:56320,23190
184.85.226.161:443,172.16.255.1:10647,67903
204.14.234.85:443,192.168.3.131:57248,55038
65.54.95.140:80,192.168.3.131:56497,30590
65.54.95.75:80,192.168.3.131:56256,4509
192.168.3.131:56174,65.54.95.68:80,3759
192.168.3.131:57247,204.14.234.85:8443,23898
192.168.3.131:55963,65.54.95.140:80,1853
204.9.163.181:443,172.16.255.1:10639,29817
72.14.213.147:443,192.168.3.131:52152,113354
208.82.236.129:80,192.168.3.131:58666,2870
192.168.3.131:56416,65.54.95.140:80,7378
192.168.3.131:56359,65.54.95.140:80,2366
172.16.255.1:10622,147.31.122.1:443,6780
72.14.213.132:443,192.168.3.131:52402,26437
72.14.213.102:443,192.168.3.131:52202,73586
65.54.95.140:80,192.168.3.131:56414,50711
65.54.95.68:80,192.168.3.131:56140,180070
65.55.15.244:5480,10.0.2.15:2537,6481
208.82.236.130:80,192.168.3.131:58668,9807
65.54.95.75:80,192.168.3.131:56139,129167
206.108.207.163:80,192.168.3.131:56049,1985
65.54.167.27:5480,10.0.2.15:2548,45304
192.168.3.131:55956,66.235.139.121:80,3933
172.16.255.1:10689,109.227.83.224:443,628
65.54.95.75:80,192.168.3.131:56069,25378
65.54.95.68:80,192.168.3.131:56510,39222
65.55.206.199:80,192.168.3.131:56022,191158
192.168.3.131:56427,65.54.95.75:80,3302
204.14.234.85:443,192.168.3.131:57243,142853
65.54.95.216:80,192.168.3.131:56166,19061
192.168.3.131:56061,195.27.155.11:80,6527
192.168.3.131:56414,65.54.95.140:80,7163
192.168.3.131:56070,65.54.95.68:80,1552
172.16.255.1:10638,130.117.72.100:443,9525
209.17.73.30:80,192.168.3.131:58790,204930
65.55.116.184:5480,10.0.2.15:2543,950
65.54.95.140:80,192.168.3.131:56417,51914
147.31.122.1:443,172.16.255.1:10622,25086
192.168.3.131:56036,65.54.95.140:80,3708
72.14.213.132:443,192.168.3.131:52399,8130
204.14.234.85:8443,192.168.3.131:57247,36432
65.55.15.244:5480,10.0.2.15:2536,7934
206.108.207.138:80,192.168.3.131:56058,235400
65.54.186.19:443,10.0.2.15:2526,21949
204.9.163.158:80,172.16.255.1:10618,581
204.14.234.85:8443,192.168.3.131:57245,72711
192.168.3.131:56140,65.54.95.68:80,3867
192.168.3.131:52402,72.14.213.132:443,1734
192.168.3.131:57243,204.14.234.85:8443,64957
192.168.3.131:56065,65.54.95.68:80,3597
184.85.226.161:443,172.16.255.1:10646,83780
209.17.73.30:80,192.168.3.131:58789,210117
65.55.118.107:80,192.168.3.131:56324,796
65.54.95.216:80,192.168.3.131:56133,42164
204.14.234.85:443,192.168.3.131:57245,72711
96.17.8.49:5480,10.0.2.15:2547,8848
65.54.95.75:80,192.168.3.131:56456,5173
65.54.95.68:80,192.168.3.131:56406,6767
65.54.95.75:80,192.168.3.131:56091,6017
192.168.3.131:58795,204.9.163.166:80,635
192.168.3.131:56161,66.235.139.121:80,174
65.54.95.75:80,192.168.3.131:56435,51290
192.168.3.131:56040,65.54.95.140:80,3119
194.165.188.79:443,172.16.255.1:10627,937
65.54.95.75:80,192.168.3.131:56067,61432
65.54.95.75:80,192.168.3.131:56064,165205
192.168.3.131:56092,65.54.95.68:80,1050
192.168.3.131:55957,65.55.5.232:80,14661
130.117.72.100:443,172.16.255.1:10638,508537
65.54.95.68:80,192.168.3.131:56331,179908
65.54.95.68:80,192.168.3.131:56511,198921
109.229.25.126:443,172.16.255.1:10684,611
192.168.3.131:56434,65.54.95.68:80,4207
96.43.146.176:443,172.16.133.82:61228,59114
96.43.146.176:443,172.16.133.82:60073,39148
172.16.133.103:63406,216.115.222.200:443,246
172.16.133.43:57700,172.16.139.250:5440,890
172.16.133.53:49292,172.16.139.250:5500,1740
157.56.242.198:443,172.16.133.57:60589,66335
172.16.133.114:55270,67.217.65.49:443,9282
172.16.133.114:55272,67.217.64.49:443,9282
172.16.133.114:55273,67.217.66.49:443,9282
172.16.133.13:52976,172.16.139.250:5440,1022
172.16.133.57:60589,157.56.242.198:443,83239
172.16.133.82:61238,96.43.146.50:443,17281
172.16.133.82:61240,96.43.146.50:443,420
172.16.133.82:61236,96.43.146.50:443,420
172.16.133.82:61239,96.43.146.50:443,420
172.16.133.82:61237,96.43.146.50:443,420
96.43.146.22:443,172.16.133.109:49451,217152
172.16.133.109:49451,96.43.146.22:443,16372
96.43.146.50:443,172.16.133.82:61247,27470
64.74.80.244:443,172.16.133.85:51696,9342
172.16.133.82:61247,96.43.146.50:443,23964
216.219.115.183:443,172.16.133.85:51700,9342
172.16.133.49:54982,67.217.65.65:443,23121
172.16.133.49:54984,67.217.64.65:443,23187
172.16.133.49:54985,67.217.66.65:443,23187
172.16.133.78:58865,24.44.106.119:18131,17621
172.16.133.78:62209,128.119.195.145:38677,12413
172.16.133.113:55582,172.16.139.250:5462,240
172.16.133.113:56684,172.16.139.250:5500,43964
172.16.133.82:61249,96.43.146.176:443,52073
172.16.133.75:58186,157.56.241.150:443,18850
172.16.133.99:51685,216.115.216.44:443,9608
172.16.133.99:51686,216.219.115.17:443,9542
172.16.133.99:51683,64.74.80.15:443,9542
172.16.133.99:51687,216.115.217.144:443,9542
172.16.133.36:65067,216.115.219.126:443,258
172.16.133.20:62286,172.16.139.250:5440,1142
172.16.133.103:63407,66.151.158.187:443,246
172.16.133.103:63408,216.219.112.250:443,246
172.16.133.76:60548,5.79.25.106:443,17859
172.16.133.60:62038,67.217.64.49:443,22098
172.16.133.37:49741,96.43.146.48:443,5344
172.16.133.82:61246,96.43.146.50:443,420
172.16.133.99:55867,96.43.146.176:443,22483
172.16.133.53:53643,67.217.64.49:443,18928
216.115.216.31:443,172.16.133.85:51699,9342
216.115.217.225:443,172.16.133.85:51701,9342
172.16.133.82:61245,96.43.146.50:443,420
172.16.133.82:61242,96.43.146.50:443,420
172.16.133.82:61243,96.43.146.50:443,420
172.16.133.82:61244,96.43.146.50:443,420
98.138.19.88:80,172.16.133.132:44296,874
172.16.133.132:44296,98.138.19.88:80,132
216.115.222.200:443,172.16.133.103:63406,120
67.217.66.65:443,172.16.133.49:54985,14014
172.16.133.78:58631,157.56.241.150:443,1020
67.217.65.65:443,172.16.133.49:54982,13923
67.217.64.65:443,172.16.133.49:54984,14014
157.56.241.150:443,172.16.133.75:58186,2760
157.56.241.150:443,172.16.133.75:58187,25533
172.16.133.28:65271,172.16.139.250:5440,1022
172.16.133.109:49453,96.43.146.22:443,17237
172.16.133.78:54905,66.31.24.112:32450,5600
172.16.133.132:54613,216.185.152.111:80,13890
172.16.133.99:55981,172.16.139.250:5440,1022
172.16.131.10:8080,172.16.133.237:4358,8508
172.16.131.10:8080,172.16.133.235:2691,378
